Title,ParkType,Bookmark,
Annual Park Ranking Report for Backcountry Campers in: 2013,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year),
,,,
ParkName,Rank,Value,PercentOfTotal
Grand Canyon NP,1,"234,878",13.63%
Yosemite NP,2,"172,353",10.01%
Lake Mead NRA,3,"170,413",9.89%
Great Smoky Mountains NP,4,"70,407",4.09%
Canyonlands NP,5,"60,691",3.52%
Delaware Water Gap NRA,6,"54,402",3.16%
Olympic NP,7,"54,369",3.16%
Zion NP,8,"54,336",3.15%
Glen Canyon NRA,9,"50,992",2.96%
Mount Rainier NP,10,"45,975",2.67%
Shenandoah NP,11,"41,419",2.40%
Yellowstone NP,12,"40,623",2.36%
Point Reyes NS,13,"40,292",2.34%
Denali NP & PRES,14,"37,862",2.20%
Saint Croix NSR,15,"33,420",1.94%
Isle Royale NP,16,"32,343",1.88%
Grand Teton NP,17,"30,157",1.75%
Rocky Mountain NP,18,"29,870",1.73%
Glacier NP,19,"29,132",1.69%
Sequoia NP,20,"26,631",1.55%
Buffalo NR,21,"26,189",1.52%
Voyageurs NP,22,"21,807",1.27%
Yukon-Charley Rivers NPRES,23,"21,437",1.24%
Dinosaur NM,24,"21,281",1.24%
Ross Lake NRA,25,"21,183",1.23%
North Cascades NP,26,"20,295",1.18%
Channel Islands NP,27,"20,032",1.16%
Big Bend NP,28,"19,378",1.12%
Sleeping Bear Dunes NL,29,"19,175",1.11%
Pictured Rocks NL,30,"15,710",0.91%
Apostle Islands NL,31,"14,064",0.82%
Padre Island NS,32,"13,608",0.79%
Kings Canyon NP,33,"13,303",0.77%
Ozark NSR,34,"12,658",0.73%
Big South Fork NRRA,35,"12,138",0.70%
Joshua Tree NP,36,"9,899",0.57%
Gates of the Arctic NP & PRES,37,"7,646",0.44%
Cumberland Island NS,38,"6,923",0.40%
Everglades NP,39,"6,437",0.37%
Cape Krusenstern NM,40,"6,075",0.35%
Kobuk Valley NP,41,"5,925",0.34%
Lassen Volcanic NP,42,"5,905",0.34%
Mammoth Cave NP,43,"5,669",0.33%
Noatak NPRES,44,"4,775",0.28%
Cape Lookout NS,45,"4,733",0.27%
Hawaii Volcanoes NP,46,"4,660",0.27%
Klondike Gold Rush NHP Alaska,47,"4,205",0.24%
Lake Chelan NRA,48,"4,151",0.24%
Glacier Bay NP & PRES,49,"4,018",0.23%
Big Cypress NPRES,50,"3,843",0.22%
Guadalupe Mountains NP,51,"3,621",0.21%
Redwood NP,52,"3,096",0.18%
Crater Lake NP,53,"3,022",0.18%
Rio Grande W&SR,54,"2,687",0.16%
Lake Roosevelt NRA,55,"2,543",0.15%
Big Thicket NPRES,56,"2,461",0.14%
Lake Clark NP & PRES,57,"2,376",0.14%
Great Sand Dunes NP & PRES,58,"2,300",0.13%
White Sands NM,59,"2,284",0.13%
Blue Ridge PKWY,60,"2,173",0.13%
Canaveral NS,61,"2,128",0.12%
Capitol Reef NP,62,"1,981",0.11%
Bryce Canyon NP,63,"1,662",0.10%
Saguaro NP,64,"1,610",0.09%
Assateague Island NS,65,"1,584",0.09%
Badlands NP,66,"1,429",0.08%
Cumberland Gap NHP,67,"1,382",0.08%
Acadia NP,68,"1,166",0.07%
Bering Land Bridge NPRES,69,"1,123",0.07%
Whiskeytown NRA,70,992,0.06%
Moores Creek NB,71,977,0.06%
Arches NP,72,953,0.06%
Golden Gate NRA,73,919,0.05%
Fire Island NS,74,917,0.05%
Theodore Roosevelt NP,75,841,0.05%
Gulf Islands NS,76,761,0.04%
Obed W&SR,77,756,0.04%
Great Basin NP,78,691,0.04%
Haleakala NP,79,628,0.04%
Congaree NP,80,579,0.03%
Black Canyon of the Gunnison NP,81,575,0.03%
Canyon de Chelly NM,82,527,0.03%
Katmai NP & PRES,83,483,0.03%
Bandelier NM,84,407,0.02%
Organ Pipe Cactus NM,85,407,0.02%
Catoctin Mountain Park,86,393,0.02%
Aniakchak NM & PRES,87,381,0.02%
Prince William Forest Park,88,283,0.02%
Kenai Fjords NP,89,279,0.02%
Petrified Forest NP,90,264,0.02%
Navajo NM,91,229,0.01%
Wind Cave NP,92,219,0.01%
Carlsbad Caverns NP,93,176,0.01%
Colorado NM,94,174,0.01%
Craters of the Moon NM,95,164,0.01%
Santa Monica Mountains NRA,96,144,0.01%
Kings Mountain NMP,97,107,0.01%
"John D. Rockefeller, Jr. MEM PKWY",98,48,0.00%
Lava Beds NM,99,40,0.00%
Grand Portage NM,100,32,0.00%
El Malpais NM,101,2,0.00%
